year,month,day,hour,PM2.5,PM10,SO2,CO,NO2,O3,TEMP,DEWP,HUMI,PRES,wd,WSPM
2014,1,4,13,137,176,40,2.2,79,NA,2.1,-4.001135116,64,1014.4,NE,1.5
2014,1,4,14,158,199,44,2.3,82,NA,2,-4.096229439,64,1014.1,NE,1.4
2014,1,4,15,170,214,40,2.4,86,NA,1.6,-4.270577951,65,1014.1,NE,1.4
2014,1,4,16,177,220,35,2.4,89,NA,0.7,-4.336780041,69,1014.2,NE,1.2
2014,1,4,17,177,226,29,2.6,92,NA,-0.4,-4.647090837,73,1014.6,NE,0.6
2014,1,4,18,180,238,24,2.8,92,NA,-2.4,-5.051607579,82,1014.6,NW,0.7
2014,1,4,19,173,241,22,2.8,87,NA,-3.1,-5.10889048,86,1014.8,CV,0.4
2014,1,4,20,173,237,20,3.1,82,NA,-1.7,-4.529907346,81,1015.1,NE,1.6
2014,1,4,21,168,231,19,3.2,80,NA,-2.1,-5.250893777,79,1015.3,NE,1.3
2014,1,4,22,175,213,18,4,90,NA,-2,-5.153487784,79,1015.6,NE,1.2
2014,1,4,23,173,233,18,3.8,81,NA,-2.5,-5.640528285,79,1015.7,NE,1.3
2014,1,5,0,187,251,18,4.1,87,NA,-3.3,-5.459692616,85,1015.8,NE,1.5
2014,1,5,1,184,251,19,4.3,78,NA,-3.1,-5.736316971,82,1016.2,NE,1.3
2014,1,5,2,188,259,19,5.5,86,NA,-3,-5.638498666,82,1016.9,NE,1.6
2014,1,5,3,196,273,19,6.2,81,NA,-4.7,-6.531564204,87,1016.8,NE,1.8
2014,1,5,4,176,230,18,5.1,90,NA,-2.6,-5.737939546,79,1016.8,NE,1.6
2014,1,5,5,162,210,16,4.7,86,NA,-2.2,-6.747417401,71,1017.2,NE,1.9
2014,1,5,6,133,138,14,3.4,92,NA,-4.5,-7.753615909,78,1017.8,NE,1.2
2014,1,5,7,115,159,16,3.3,82,NA,-5.3,-7.577227886,84,1018.6,NE,1.2
2014,1,5,8,140,209,18,4.2,82,NA,-1.6,-8.140624768,61,1019.5,NE,1.6
2014,1,5,9,128,189,19,3.9,88,NA,2.7,-9.250873708,41,1020.1,NW,1.8
2014,1,5,10,97,117,49,2.8,81,NA,4.8,-11.75496294,29,1019.8,NE,2.8
2014,1,5,11,63,63,41,1.5,58,NA,5.4,-11.67154459,28,1019.1,NE,2.9
2014,1,5,12,26,26,30,0.6,34,NA,6.4,-11.73315564,26,1018.6,NE,2.3
2014,1,5,13,25,25,25,0.5,30,NA,7.1,-12.13133674,24,1018,NE,2.1
2014,1,5,14,21,21,23,0.6,33,NA,7.3,-11.4511095,25,1018.1,SE,1.6
2014,1,5,15,24,28,22,0.6,37,NA,7.4,-11.36550611,25,1018.5,SE,1.2
2014,1,5,16,29,29,22,0.5,42,NA,3.3,-11.84078862,32,1018.5,SW,1.3
2014,1,5,17,25,32,21,0.7,63,NA,-0.3,-11.37337623,43,1018.6,SW,0.8
2014,1,5,18,34,66,21,1.1,83,NA,-1.2,-10.81744144,48,1019.3,NW,0.9
2014,1,5,19,44,90,21,1.4,88,NA,0.4,-10.16187668,45,1019.7,SW,1.6
2014,1,5,20,55,99,23,1.5,89,NA,-2,-10.07317395,54,1020.3,SW,1
2014,1,5,21,60,105,23,1.6,92,NA,1.1,-6.247027115,58,1021.1,SW,2.2
2014,1,5,22,98,191,23,2.7,97,NA,-0.1,-4.540683058,72,1021.6,SW,2.9
2014,1,5,23,144,214,22,3.3,89,NA,-1,-4.011927112,80,1021.7,SW,1.1
2014,1,6,0,131,163,19,2.5,79,NA,-0.4,-3.095535955,82,1021.5,SW,1.6
2014,1,6,1,130,149,16,2.2,74,NA,-0.2,-2.736755334,83,1021.7,SW,2.9
2014,1,6,2,121,126,15,1.8,64,NA,-0.3,-2.673356494,84,1021.6,SW,2.4
2014,1,6,3,117,117,15,1.8,65,NA,-0.4,-2.932608174,83,1021.2,SW,2.1
2014,1,6,4,114,114,14,1.9,60,NA,-0.4,-3.426756917,80,1020.9,SW,3
2014,1,6,5,99,99,14,1.5,45,NA,-0.4,-3.426756917,80,1021.1,SW,2.8
2014,1,6,6,97,97,14,1.4,45,NA,-0.3,-4.191340802,75,1021.1,SW,2.1
2014,1,6,7,103,103,14,1.4,52,NA,-0.2,-4.273188849,74,1021.1,SW,2.4
2014,1,6,8,108,108,15,1.5,55,NA,-0.2,-4.094515953,75,1021.3,SW,2.1
2014,1,6,9,107,110,17,1.5,53,NA,-0.2,-3.917947847,76,1022,SW,2.3
2014,1,6,10,112,113,17,1.6,55,NA,-0.1,-4.357487846,73,1021.2,SW,1.6
2014,1,6,11,110,110,18,1.5,52,NA,-0.2,-4.273188849,74,1020.1,SW,2.1
2014,1,6,12,127,127,21,1.6,57,NA,-0.1,-3.997692378,75,1018.9,SW,2.1
2014,1,6,13,147,147,22,1.8,62,NA,0.1,-3.983155609,74,1018.2,NW,1.5
2014,1,6,14,158,158,24,1.8,63,NA,0.1,-4.164426121,73,1018,NW,1.1
2014,1,6,15,154,154,24,1.7,63,NA,-0.1,-4.726154157,71,1018,NW,1
2014,1,6,16,160,160,25,1.7,69,NA,-1.1,-4.790700953,76,1018.2,NW,0.9
2014,1,6,17,159,159,23,1.9,72,NA,-2.9,-5.540681254,82,1018,SW,0.8
2014,1,6,18,166,171,21,2.1,76,NA,-2.9,-4.759172304,87,1018.6,NW,0.9
2014,1,6,19,166,168,17,2,79,NA,-3,-4.857633145,87,1018.7,NW,0.7
2014,1,6,20,165,179,18,2.4,79,NA,-2.5,-4.518888627,86,1018.6,SW,0.6
2014,1,6,21,174,192,18,2.7,79,NA,-2.3,-4.477630988,85,1018.8,NW,0.6
2014,1,6,22,174,185,19,2.7,81,NA,-2,-4.183026835,85,1018.7,NW,0.8
2014,1,6,23,174,185,20,3.1,81,NA,-1.9,-4.084826921,85,1018.2,CV,0
2014,1,7,0,194,206,21,3.9,82,NA,-0.9,-3.584520403,82,1018.3,NE,1.4
2014,1,7,1,200,223,21,3.8,84,NA,-1.2,-3.2406357,86,1018.5,NE,0.9
2014,1,7,2,203,221,15,3.5,83,NA,-1.4,-3.282335585,87,1018.6,NE,0.9
2014,1,7,3,225,261,14,4.8,83,NA,-1.3,-3.183884862,87,1018.8,NE,1.4
2014,1,7,4,244,263,11,5,83,NA,-0.9,-3.261717161,84,1018.5,NE,1.1
2014,1,7,5,243,266,20,5.5,91,NA,-1.6,-3.79023159,85,1018.6,NE,1.6
2014,1,7,6,230,249,20,4.8,91,NA,-1.9,-3.774598681,87,1018.8,NE,1.3
2014,1,7,7,227,243,20,5,83,NA,-1.8,-3.830584235,86,1019.9,NE,1
2014,1,7,8,227,257,19,5.3,88,NA,-1.5,-3.850106159,84,1021.1,NE,0.8
2014,1,7,9,239,281,20,5.3,96,NA,3.7,-11.10278007,33,1021.3,NE,3
2014,1,7,10,180,180,30,3.5,92,NA,3.9,-12.11807377,30,1021.3,NE,4.2
2014,1,7,11,24,32,27,0.6,33,NA,4.6,-12.36572032,28,1020.5,NE,4.8
2014,1,7,12,19,25,22,0.5,28,NA,5.1,-12.38418878,27,1019.8,NE,3.1
2014,1,7,13,22,23,20,0.5,30,NA,5.8,-12.73577314,25,1019.8,NE,3.8
2014,1,7,14,18,18,19,0.5,29,NA,5.8,-14.30714254,22,1020.2,NW,3.5
2014,1,7,15,22,22,17,0.4,27,NA,5.4,-14.64526483,22,1020.7,NW,3.5
2014,1,7,16,20,26,15,0.4,22,NA,4.9,-15.6308313,21,1021.7,NW,2.3
2014,1,7,17,19,19,14,0.5,36,NA,4,-16.97182132,20,1022.4,NW,2.2
2014,1,7,18,16,16,13,0.6,44,NA,3.9,-17.05559526,20,1023.3,NW,1.8
2014,1,7,19,19,19,12,0.6,49,NA,2.9,-19.13316685,18,1024.4,NE,2.5
2014,1,7,20,22,26,13,0.8,58,NA,2.2,-20.37704197,17,1025.2,NE,1.8
2014,1,7,21,23,32,13,0.9,72,NA,1.2,-19.31966194,20,1026.6,NE,2.1
2014,1,7,22,17,21,11,0.7,56,NA,0.1,-18.1110029,24,1026.4,NE,2
2014,1,7,23,17,24,10,0.6,49,NA,-0.5,-18.62474136,24,1025.8,NE,2
2014,1,8,0,16,19,10,0.7,45,NA,-1.6,-19.56708683,24,1026.8,NE,1.6
2014,1,8,1,19,19,5,0.6,37,NA,-1.6,-19.56708683,24,1026.9,NE,2.7
2014,1,8,2,14,14,6,0.5,29,NA,-2,-19.4345958,25,1027.3,NE,2.6
2014,1,8,3,11,11,7,0.5,25,NA,-2.5,-18.9669096,27,1027.3,NE,2.7
2014,1,8,4,14,14,6,0.4,24,NA,-3.1,-19.06284843,28,1027.3,NE,3.3
2014,1,8,5,12,12,6,0.4,22,NA,-4,-18.2842686,32,1027.7,NE,1.9
2014,1,8,6,13,13,7,0.4,22,NA,-3.8,-18.10742278,32,1028.3,NE,2.3
2014,1,8,7,14,15,8,0.5,34,NA,-4.4,-18.27581473,33,1029,NE,2.1
2014,1,8,8,16,24,9,0.6,44,NA,-3.6,-17.56611185,33,1029.8,NE,2.9
2014,1,8,9,19,26,10,0.7,47,NA,-2.4,-18.03902393,29,1030,NW,3.7
2014,1,8,10,21,27,11,0.6,31,NA,-1,-18.57402712,25,1029.4,NW,3.9
2014,1,8,11,18,18,12,0.6,24,NA,-0.4,-19.55789196,22,1028.2,NE,3.6
2014,1,8,12,15,15,14,0.4,13,NA,0,-20.3272592,20,1027.1,NE,2.6
2014,1,8,13,12,12,11,0.4,14,NA,0.4,-20.58526283,19,1026.1,NE,2.7
2014,1,8,14,14,14,9,0.4,15,NA,0.5,-21.12487443,18,1026.1,NW,2.4
2014,1,8,15,17,17,8,0.4,18,NA,0.5,-22.47037511,16,1026.2,NW,3.3
2014,1,8,16,9,25,7,0.4,16,NA,-1,-22.371456,18,1026.6,NW,5.1
2014,1,8,17,11,44,5,0.4,13,NA,-1.5,-21.58792222,20,1027.2,NW,3.1
2014,1,8,18,15,24,5,0.4,18,NA,-1.7,-21.75610865,20,1027.4,NW,1.8
2014,1,8,19,14,23,6,0.5,24,NA,-2.2,-21.61982026,21,1027.8,NW,2.3
2014,1,8,20,15,25,9,0.6,33,NA,-2.3,-21.17122039,22,1027.9,NW,2
2014,1,8,21,16,30,9,0.6,50,NA,-2.4,-20.25282892,24,1027.9,NW,1.9
2014,1,8,22,16,22,9,0.6,42,NA,-2.5,-19.40825273,26,1027.9,NW,2.6
2014,1,8,23,20,36,9,0.8,39,NA,-2.7,-20.03730007,25,1027.7,NW,1.7
2014,1,9,0,19,46,9,0.6,30,NA,-3.4,-21.11048053,24,1027.4,NW,2.2
2014,1,9,1,25,54,10,0.7,54,NA,-3.3,-23.67999392,19,1027.3,NW,4.1
2014,1,9,2,25,45,9,0.8,48,NA,-3.7,-24.01504404,19,1027.7,NW,3
2014,1,9,3,15,18,8,0.5,21,NA,-4.3,-24.51779682,19,1027.3,NW,3.1
2014,1,9,4,11,14,5,0.3,10,NA,-4.6,-24.19740769,20,1027.1,NW,2
2014,1,9,5,9,12,3,0.3,9,NA,-5.6,-24.49784191,21,1027.1,NW,1.7
2014,1,9,6,8,11,3,0.4,15,NA,-5.7,-24.06319791,22,1027.3,NW,1.3
2014,1,9,7,9,11,3,0.6,24,NA,-6.7,-23.48617014,25,1027.9,SE,1
2014,1,9,8,11,30,4,0.9,60,NA,-5.3,-23.22247654,23,1028.5,NE,1.4
2014,1,9,9,11,30,4,0.9,60,NA,-2.2,-24.01155408,17,1028.2,NE,1.9
2014,1,9,10,17,25,6,0.9,50,NA,-1.3,-24.669104,15,1027.4,NE,1.6
2014,1,9,11,16,16,9,0.7,36,NA,-0.9,-25.92848149,13,1025.9,NE,1.6
2014,1,9,12,16,16,9,0.4,14,NA,0.8,-25.45024707,12,1024.4,NW,1.7
2014,1,9,13,4,6,6,0.3,11,NA,1.2,-25.13164554,12,1023.1,NW,2.6
2014,1,9,14,7,7,5,0.4,13,NA,0.4,-21.20793761,18,1023,SW,2.6
2014,1,9,15,26,62,7,0.7,38,NA,-0.2,-20.49527268,20,1023,SW,2.5
2014,1,9,16,46,74,9,0.8,51,NA,-1.7,-19.17637118,25,1023.1,SW,1.3
2014,1,9,17,44,80,11,0.9,61,NA,-2.1,-19.52068096,25,1023.1,SW,2
2014,1,9,18,55,100,13,1.2,79,NA,-2.7,-19.1405222,27,1023.8,SW,2.3
2014,1,9,19,66,111,13,1.4,89,NA,-2.5,-19.86507311,25,1023.9,SW,4.1
2014,1,9,20,64,100,15,1.3,86,NA,-2.9,-20.20954763,25,1024.2,SW,3
2014,1,9,21,68,105,18,1.4,82,NA,-3.1,-20.85312972,24,1024.4,SW,2.5
2014,1,9,22,62,87,19,1.2,74,NA,-3.9,-20.18261144,27,1024.8,SW,1.4
2014,1,9,23,52,83,18,1.1,73,NA,-6.8,-19.72385993,35,1024.7,CV,0.5
2014,1,10,0,55,91,18,1.1,74,NA,-6.8,-20.40657797,33,1024.8,NE,1.8
2014,1,10,1,56,114,16,1.8,78,NA,-6.9,-19.81324007,35,1024.6,NE,0.9
2014,1,10,2,72,102,30,3,80,NA,-7.5,-19.09014328,39,1024.8,NE,1.6
2014,1,10,3,102,160,42,4.6,83,NA,-8.3,-18.1370185,45,1024.7,NE,1.3
2014,1,10,4,106,162,36,5.1,83,NA,-8.7,-18.24539316,46,1024.9,NE,1.4
2014,1,10,5,85,121,32,4.6,77,NA,-8.1,-18.76618555,42,1024.8,NE,1.4
2014,1,10,6,59,84,31,3.5,73,NA,-8,-18.95777941,41,1025,NE,1.3
2014,1,10,7,59,84,31,3.5,73,NA,-8.1,-17.69324286,46,1025.3,NE,1.3
2014,1,10,8,48,94,30,2.7,73,NA,-6.7,-17.77624596,41,1026.1,NE,2
2014,1,10,9,47,93,30,2.7,73,NA,-3.8,-18.86686881,30,1026.4,NW,1.3
2014,1,10,10,85,126,45,4.3,94,NA,-1.6,-20.06200924,23,1025.8,NW,0.7
2014,1,10,11,72,88,52,2.7,95,NA,-0.3,-20.57928807,20,1024.8,SW,0.7
2014,1,10,12,76,95,62,2.7,101,NA,2.3,-20.29457843,17,1023.6,NW,0.9
2014,1,10,13,62,62,55,1.8,110,NA,3.6,-20.6768502,15,1023,SE,1.3
2014,1,10,14,59,61,45,1.6,121,NA,4,-18.89364136,17,1022.9,SW,2.3
2014,1,10,15,51,101,47,1.4,86,NA,2.6,-19.38194054,18,1023.1,SW,1.4
2014,1,10,16,68,110,70,2,97,NA,1.1,-19.40359673,20,1023.3,SW,2.2
2014,1,10,17,94,123,85,2,104,NA,0.2,-18.02539821,24,1024.1,SW,1.9
2014,1,10,18,126,126,88,2,114,NA,0,-18.19661284,24,1024.4,SW,2.9
2014,1,10,19,126,168,95,2.3,106,NA,-0.7,-18.3159568,25,1024.6,SW,2.3
2014,1,10,20,133,173,107,2.4,106,NA,-3.5,-15.47639006,39,1025.1,SW,1.4
2014,1,10,21,126,171,102,2.5,102,NA,-4.4,-14.83233874,44,1025.5,NW,1.2
2014,1,10,22,112,153,96,2.5,102,NA,-6,-16.57167613,43,1025.6,SE,0.6
2014,1,10,23,120,189,97,3.1,107,NA,-7.1,-16.01590815,49,1025.9,CV,0
2014,1,11,0,142,230,102,4,109,NA,-8.2,-14.19461221,62,1025.7,NE,0.7
2014,1,11,1,149,268,101,4.9,117,NA,-5.6,-15.39385076,46,1025.9,NE,1.2
2014,1,11,2,151,261,115,6.2,117,NA,-5,-17.45773563,37,1026,NE,1.7
2014,1,11,3,181,259,161,6.7,119,NA,-6,-17.14028695,41,1026,SE,0.6
2014,1,11,4,147,190,137,5.1,98,NA,-8.6,-16.24492139,54,1025.9,CV,0.2
2014,1,11,5,133,183,119,5.2,92,NA,-9.2,-13.84055091,69,1025.4,NE,0.8
2014,1,11,6,114,154,103,4.9,87,NA,-9.1,-16.71293799,54,1025.4,NE,1.2
2014,1,11,7,106,139,105,5.3,86,NA,-7.4,-17.3108597,45,1026,NE,0.6
2014,1,11,8,86,110,112,3.7,77,NA,-7.2,-12.10113673,68,1026.4,NE,0.6
2014,1,11,9,69,113,116,3.5,72,NA,-2,-17.68927081,29,1026.2,NE,1.8
2014,1,11,10,75,99,120,3.4,77,NA,0.2,-17.07565323,26,1025.4,NW,0.8
2014,1,11,11,70,84,120,2.7,82,NA,1.5,-15.95385605,26,1023.7,NW,1.3
2014,1,11,12,74,78,88,2.7,92,NA,3.4,-16.33718997,22,1022.9,NW,1.1
2014,1,11,13,92,112,98,3.1,106,NA,5.4,-16.41600636,19,1021.7,SE,1
2014,1,11,14,87,97,88,2.7,105,NA,6.3,-17.00108698,17,1021.3,SE,0.8
2014,1,11,15,88,88,74,2.2,103,NA,4.9,-16.21811393,20,1021.3,SW,1.5
2014,1,11,16,158,209,106,3.7,146,NA,1.6,-14.97160807,28,1021.7,SW,2.4
2014,1,11,17,222,284,126,4.2,161,NA,0.4,-14.02172683,33,1022.3,SW,2.6
2014,1,11,18,208,278,125,3.8,145,NA,1.7,-15.32558767,27,1022.7,NW,3.5
2014,1,11,19,208,269,124,3.4,134,NA,-0.9,-15.17289771,33,1023.4,NW,0.9
2014,1,11,20,207,249,122,3.2,134,NA,-3.4,-14.7796922,41,1024.4,NE,0.7
2014,1,11,21,203,277,119,4.1,123,NA,1.2,-16.21265704,26,1025.6,NE,1.5
2014,1,11,22,158,206,99,3.6,111,NA,0.9,-17.42631251,24,1026.5,NE,3.1
2014,1,11,23,143,177,118,3.4,113,NA,0,-18.69760487,23,1027.1,NE,1.9
2014,1,12,0,24,72,34,0.8,113,NA,-0.2,-18.36784848,24,1027.3,NE,2.8
2014,1,12,1,20,105,35,0.7,29,NA,-0.6,-18.71038283,24,1028.2,NE,2.3
2014,1,12,2,17,81,34,0.6,26,NA,-1.4,-19.39570395,24,1028.7,NE,1.7
2014,1,12,3,14,35,35,0.6,33,NA,-1.6,-20.06200924,23,1029.1,NW,3.1
2014,1,12,4,13,25,35,0.6,32,NA,-2.2,-20.08136181,24,1029.4,NE,2.2
2014,1,12,5,11,18,34,0.5,25,NA,-2.6,-20.42431709,24,1030.2,NE,2.6
2014,1,12,6,12,15,38,0.7,34,NA,-3,-20.29567914,25,1031,NE,1.6
2014,1,12,7,16,18,45,0.7,43,NA,-3.2,-20.46795761,25,1032.1,NE,1.8
2014,1,12,8,17,23,52,0.9,57,NA,-2.5,-19.86507311,25,1032.9,NE,0.8
2014,1,12,9,16,29,57,1,55,NA,-0.2,-20.49527268,20,1032.9,NE,1.9
2014,1,12,10,24,24,58,1,46,NA,1,-20.08417565,19,1032.8,NE,1.3
2014,1,12,11,18,18,47,0.7,31,NA,1.5,-20.29457442,18,1031.7,NE,2.5
2014,1,12,12,18,18,47,0.6,23,NA,2.6,-20.74855062,16,1030.4,NE,2.6
2014,1,12,13,14,14,30,0.5,19,NA,3.6,-21.47015552,14,1029.1,NE,1.4
2014,1,12,14,13,13,24,0.5,17,NA,4.7,-21.43505647,13,1028.5,NW,2.4
2014,1,12,15,6,6,19,0.4,15,NA,2.8,-19.2160854,18,1028.7,SW,3.7
2014,1,12,16,19,38,28,0.7,39,NA,1.1,-19.40359673,20,1028.8,SW,3.1
2014,1,12,17,35,64,38,0.9,56,NA,0,-19.21849708,22,1028.9,SW,2.5
2014,1,12,18,34,63,35,1,68,NA,-1.7,-17.84307071,28,1029.1,NW,1.8
2014,1,12,19,43,78,43,1.1,73,NA,-1.5,-18.09914184,27,1028.7,SW,1.5
